"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil","Director","Actor","Year"
29,"Dangal","Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.",161,"Action",8.6,NA,90612,12.39,"Nitesh Tiwari","Aamir Khan",2002
30,"La vita è bella","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",116,"Comedy",8.6,NA,501498,57.6,"Roberto Benigni","Roberto Benigni",2016
31,"It's a Wonderful Life","An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.",130,"Drama",8.6,89,325577,7.27,"Frank Capra","James Stewart",1946
32,"City Lights","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",87,"Comedy",8.6,NA,131845,0.02,"Charles Chaplin","Charles Chaplin",1931
33,"Coco","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105,"Animation",8.5,81,148391,209.43,"Lee Unkrich","Anthony Gonzalez",2017
34,"The Lion King","A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.",88,"Animation",8.5,83,757738,312.9,"Roger Allers","Matthew Broderick",1999
35,"The Green Mile","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",189,"Crime",8.5,61,921068,136.8,"Frank Darabont","Tom Hanks",1985
36,"Gladiator","When a Roman General is betrayed, and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.",155,"Action",8.5,67,1121561,187.71,"Ridley Scott","Russell Crowe",1994
37,"The Departed","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.",151,"Crime",8.5,85,997917,132.38,"Martin Scorsese","Leonardo DiCaprio",2000
38,"Back to the Future","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",116,"Adventure",8.5,86,853178,210.61,"Robert Zemeckis","Michael J. Fox",2006
39,"The Prestige","After a tragic accident two stage magicians engage in a battle to create the ultimate illusion whilst sacrificing everything they have to outwit the other.",130,"Drama",8.5,66,984159,53.09,"Christopher Nolan","Christian Bale",2014
40,"Raiders of the Lost Ark","Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.",115,"Action",8.5,85,751250,248.16,"Steven Spielberg","Harrison Ford",2006
41,"Psycho","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",109,"Horror",8.5,97,490460,32,"Alfred Hitchcock","Anthony Perkins",1981
42,"Whiplash","A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.",107,"Drama",8.5,88,541473,13.09,"Damien Chazelle","Miles Teller",1979
43,"Alien","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.",116,"Horror",8.5,83,660877,78.9,"Ridley Scott","Sigourney Weaver",1960
44,"Apocalypse Now","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe.",147,"Drama",8.5,94,510001,83.47,"Francis Ford Coppola","Martin Sheen",1979
45,"Memento","A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.",113,"Mystery",8.5,80,964170,25.54,"Christopher Nolan","Guy Pearce",2000
46,"American History X","A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.",119,"Crime",8.5,62,888886,6.72,"Tony Kaye","Edward Norton",1991
47,"Terminator 2: Judgment Day","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced cyborg.",137,"Action",8.5,NA,843348,204.84,"James Cameron","Arnold Schwarzenegger",1998
48,"The Intouchables","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",112,"Biography",8.5,NA,611033,13.18,"Olivier Nakache","François Cluzet",2011
49,"The Pianist","A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.",150,"Biography",8.5,85,585009,32.57,"Roman Polanski","Adrien Brody",1988
50,"Casablanca","A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.",102,"Drama",8.5,100,441864,1.02,"Michael Curtiz","Humphrey Bogart",1942
